chr1	44546601	44546602
chr1	44546601	44546602
chr1	44546601	44546602
chr1	44546601	44546602
chr1	44546601	44546602
chr1	44546601	44546602
chr1	31421549	31421550
chr1	44546601	44546602
chr1	72257528	72257529
chr1	44540324	44540325
chr1	72286390	72286391
chr1	184016669	184016670
chr1	183869871	183869872
chr1	183833125	183833126
chr1	1478690	1478691
chr1	44537583	44537584
chr1	44546601	44546602
chr1	207774716	207774717
chr1	9940418	9940419
chr1	87427449	87427450
chr1	44546601	44546602
chr1	217549549	217549550
chr1	6212077	6212078
chr1	207788387	207788388
chr1	66525663	66525664
chr1	156486737	156486738
chr1	207915947	207915948
chr1	44546601	44546602
chr1	74502891	74502892
chr1	79985514	79985515
chr1	150861330	150861331
chr1	207851475	207851476
chr1	115799281	115799282
chr1	109275684	109275685
chr1	6236178	6236179
chr1	236396997	236396998
chr1	224153647	224153648
chr1	121213648	121213649
chr1	62981186	62981187
chr1	184396836	184396837
chr1	236396997	236396998
chr1	18784584	18784585
chr1	18790006	18790007
chr1	18783262	18783263
chr1	226505234	226505235
chr1	18784033	18784034
chr1	18784160	18784161
chr1	18783514	18783515
chr1	226518546	226518547
chr1	18783980	18783981
chr1	18784068	18784069
chr1	165408366	165408367
chr1	165408879	165408880
chr1	245060665	245060666
chr1	183796672	183796673
chr1	14807172	14807173
chr1	97524780	97524781
chr1	14418293	14418294
chr1	207847332	207847333
chr1	44546601	44546602
chr1	150761603	150761604
chr1	207851475	207851476
chr1	207955377	207955378
chr1	39525916	39525917
chr1	10662447	10662448
chr1	109275684	109275685
chr1	207955720	207955721
chr1	207767508	207767509
